Company,Industry,Country,Founded_Year,Funding_Stage,Total_Funding_M,Revenue_M,Employee_Count,Customer_Count,ARPU,Monthly_Churn_Rate,Revenue_Growth_Pct,Is_Profitable
StartupCo_001,Healthcare,USA,2019,Series B,73.54,70.2,214,44398,3708.53,25.0,66.76,0
StartupCo_002,Technology,UK,2011,Series A,151.66,13.75,412,46975,3256.42,24.98,18.66,1
StartupCo_003,Technology,India,2019,Series C,102.14,78.16,1965,22109,529.01,17.72,36.67,1
StartupCo_004,Cybersecurity,Canada,2020,Seed,218.95,268.35,1997,24857,412.42,13.9,71.72,1
StartupCo_005,Cybersecurity,Germany,2019,Seed,13.84,114.34,597,5279,4279.48,39.13,39.42,1
StartupCo_006,SaaS,India,2013,Series B,62.93,133.86,1923,44846,3247.22,27.8,12.25,0
StartupCo_007,Fintech,France,2014,Series B,296.86,320.18,1145,14442,3429.38,38.09,90.88,0
StartupCo_008,Technology,Australia,2014,Series B,19.95,456.61,1166,47099,1587.1,29.84,41.43,1
StartupCo_009,Fintech,Canada,2010,Series A,223.52,269.72,1534,38361,2153.6,26.68,37.06,0
StartupCo_010,AI/ML,France,2009,Seed,258.34,76.84,332,44646,2122.36,3.8,39.61,1
StartupCo_011,AI/ML,Canada,2016,Seed,204.12,57.72,1817,35240,3759.37,34.82,34.22,1
StartupCo_012,Biotech,India,2015,Seed,286.15,437.99,544,32856,3814.57,23.34,3.83,1
StartupCo_013,AI/ML,Israel,2011,Series A,112.24,,1957,34807,4594.1,27.35,53.52,0
StartupCo_014,SaaS,Canada,2011,Seed,72.34,283.89,166,5663,3664.9,36.91,117.14,0
StartupCo_015,Fintech,France,2016,Series A,79.59,436.28,871,13930,4645.99,34.23,79.68,1
StartupCo_016,Biotech,Australia,2015,Growth,135.5,124.33,136,22206,124.75,25.37,66.5,0
StartupCo_017,Healthcare,USA,2011,Seed,271.64,429.89,150,33745,1205.26,30.44,17.85,0
StartupCo_018,Cybersecurity,Israel,2015,Series A,235.41,403.84,394,6231,502.72,19.97,45.07,1
StartupCo_019,Technology,UK,2008,Series C,218.49,400.4,228,16345,974.12,24.6,8.22,0
StartupCo_020,E-commerce,France,2011,Seed,132.99,430.74,1132,6466,271.93,44.97,98.68,0
StartupCo_021,EdTech,India,2014,Series C,144.46,432.39,1853,3892,839.89,1.09,40.75,1
StartupCo_022,E-commerce,Singapore,2019,Pre-IPO,298.63,278.11,1476,31944,790.89,14.06,115.93,0
StartupCo_023,SaaS,USA,2008,Growth,143.09,459.73,1092,10367,303.26,23.34,100.67,0
StartupCo_024,Cybersecurity,UK,2018,Series A,121.19,470.83,1171,16185,2903.02,2.75,0.66,1
StartupCo_025,E-commerce,Germany,2018,Pre-IPO,94.32,133.17,273,44069,3234.59,21.12,110.77,0
StartupCo_026,Technology,France,2017,Growth,298.83,37.09,441,33203,1340.7,42.06,104.51,0
StartupCo_027,SaaS,Canada,2010,Series C,250.14,351.92,1257,42908,2654.12,30.39,62.1,0
StartupCo_028,Fintech,Canada,2009,Seed,222.75,78.15,582,39688,1068.94,16.09,79.37,1
StartupCo_029,AI/ML,France,2012,Seed,27.78,212.08,571,2939,37.66,34.93,72.82,1
StartupCo_030,Fintech,France,2016,Pre-IPO,128.36,5.33,159,45336,4521.56,25.01,98.5,0
StartupCo_031,Biotech,India,2008,Series B,109.46,,1996,2664,4496.64,10.24,22.44,0
StartupCo_032,SaaS,Brazil,2022,Series C,292.15,374.86,1900,15564,4325.74,43.95,95.4,1
StartupCo_033,Technology,India,2019,Series B,234.74,206.15,1376,48222,4057.53,12.74,92.36,0
StartupCo_034,Biotech,USA,2021,Series C,66.81,408.39,947,22965,1539.85,36.0,19.59,0
StartupCo_035,EdTech,Singapore,2013,Series B,259.32,483.46,576,23062,3214.58,18.59,117.55,1
StartupCo_036,Technology,UK,2022,Series B,53.65,481.29,548,2557,559.84,20.12,84.71,1
StartupCo_037,Biotech,Israel,2016,Seed,115.62,288.51,526,2958,3549.75,1.07,110.32,0
StartupCo_038,SaaS,Singapore,2009,Pre-IPO,276.24,311.77,1363,8217,3604.38,14.21,30.21,1
StartupCo_039,SaaS,Singapore,2019,Series B,166.37,96.32,1366,24897,3393.04,40.72,70.02,1
StartupCo_040,Biotech,Brazil,2021,Seed,91.23,105.49,1614,38059,3041.17,15.18,47.43,0
StartupCo_041,AI/ML,France,2020,Pre-IPO,50.99,42.86,1060,43556,3172.05,15.75,96.4,0
StartupCo_042,E-commerce,Germany,2020,Series A,44.29,23.58,978,40110,4251.69,4.2,43.88,0
StartupCo_043,Biotech,France,2014,Series A,44.36,343.97,1833,49265,4304.99,39.96,91.19,0
StartupCo_044,Fintech,Brazil,2015,Seed,167.27,458.78,253,29964,684.03,21.44,59.05,1
StartupCo_045,Logistics,Israel,2021,Pre-IPO,267.62,213.66,1862,35955,2240.65,8.0,101.99,1
StartupCo_046,E-commerce,Germany,2021,Pre-IPO,83.27,388.95,997,41124,1211.44,20.35,82.76,0
StartupCo_047,E-commerce,Australia,2013,Growth,24.27,,789,45528,780.97,10.41,43.93,1
StartupCo_048,AI/ML,France,2014,Seed,62.13,210.36,1858,38328,4731.39,1.86,104.49,1
StartupCo_049,Logistics,USA,2013,Series B,226.07,426.8,1957,27510,2700.34,33.32,93.98,0
